facility_id,facility_name,county,municipality,operator_developer,status,status_detail,status_as_of,inventory_role,workload,capacity_mw,capacity_type,capacity_scope,capacity_value_status,capacity_qualifier,cooling_type_reported,cooling_value_status,avg_annual_water_value,avg_annual_water_unit,avg_annual_water_availability,peak_max_water_value,peak_max_water_unit,peak_max_water_metric,peak_max_water_availability,wue_value,wue_unit,wue_availability,water_provider_reported,water_source_reported,water_provider_availability,reclaimed_recycled_reported,primary_source_ids,notes
FAC011,Cogent Akron,Summit,Akron,Cogent,operating,,2026-08-27,regional_inventory,colocation,5.0,facility power,facility,reported,"Official sheet also reports 4.41 MW protected power; 5 MW facility power selected as master capacity, alternate retained in notes.",HVAC / environmental cooling; detailed cooling technology not publicly specified,reported_scope_limited,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC014;SRC026,Protected power = 4.41 MW.
FAC012,Lumen Akron 1,Summit,Akron,Lumen,operating,,2026-08-27,regional_inventory,data center/telecom,,,facility,missing,No defensible public capacity found in documented search.,,not publicly found,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC015,Preserve genuine missing capacity.
FAC013,Lumen Akron 2,Summit,Akron,Lumen,operating,,2026-08-27,regional_inventory,data center/telecom,,,facility,missing,Earlier ~1 MW secondary estimate removed: facility-specific listing states no capacity/power data supplied by Lumen.,temperature and humidity controlled; detailed cooling technology not publicly specified,reported_scope_limited,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC015;SRC027,"Address: 110 South Arlington Street, Akron, OH 44311. Preserve missing MW rather than use non-primary estimate."
FAC014,FairlawnGig / Summit County,Summit,Fairlawn,FairlawnGig,operating,,2026-08-27,regional_inventory,data center/network,,,facility,missing,Earlier ~1 MW secondary estimate removed; operator and facility listing do not publicly supply power capacity.,climate-controlled environment; detailed cooling technology not publicly specified,reported_scope_limited,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC028;SRC029,"Address: 3300 Fairlawn Service Drive, Fairlawn, OH 44333."
FAC015,Bay Pointe Tech,Summit,Richfield,Bay Pointe,operating,,2026-08-27,regional_inventory,data center,,,facility,missing,Earlier ~1 MW estimate removed; no defensible facility-specific public capacity found.,,not publicly found,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC030,"Facility address supported by chamber/directory evidence: 2662 Brecksville Rd, Richfield, OH 44286; operator website now lists a Medina contact address."
FAC016,Aligned Twinsburg,Summit,Twinsburg,Aligned Data Centers,proposed,Permitting reported by discovery source,2026-08-27,regional_inventory,data center,,,project,missing,No verified facility MW found in documented search.,,not publicly found,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC031,Ohio public-record tracker supports proposed Aligned project in Twinsburg; local-primary technical details not publicly found.
FAC017,Quantum HPC / Project Triton,Summit,Norton,Quantum HPC,withdrawn,,2026-08-27,historical_comparison,HPC/data center,180.0,reported electrical capacity,proposal,approximate_unverified,~180 MW retained from raw research; source not preserved in raw table.,,not applicable,,,not applicable,,,,not applicable,,,not applicable,,,not applicable,,,Historical comparison only; weak capacity provenance retained transparently.
FAC018,Stargate Lordstown,Trumbull,Lordstown,SoftBank / OpenAI,under development,,2026-08-27,regional_inventory,AI data center,,,site,missing,Standalone Lordstown MW not individually disclosed in current research.,,not publicly found,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC016,Do not allocate combined multi-site GW announcement to Lordstown.
FAC019,Bristolville 25,Trumbull/Mahoning,Lordstown / Jackson Township,Bristolville 25 Developer LLC,proposed,Disputed / litigation context,2026-08-27,regional_inventory,data center,,,project,missing,"1.65 million sq ft is physical size, not MW; no defensible MW retained.",,not publicly found,,,not publicly found,,,,not publicly found,,,not publicly found,Developer attorney stated project will not use public water,,reported_no_public_water; alternative source not publicly found,,SRC017;SRC032,"1.65m sq ft is physical size, not MW. Developer also proposed funding upgrades to Lordstown water system, while later attorney statement said project would not use public water; preserve both contextual facts."
FAC020,Bitdeer Weathersfield / Niles,Trumbull,Weathersfield Township,Bitdeer Technologies Group,under development,Formerly referred to as Niles; target energization Q4 2028,2026-08-10,analytical_case,colocation / AI cloud,300.0,grid-interconnected electrical capacity,full development site,reported,Bitdeer Q2 2026 disclosure: 300 MW grid-interconnected development site.,closed-loop water cooling,reported,,,not publicly found,,,,not publicly found,,,not publicly found,City of Niles municipal water requested; MVSD identified as ultimate supply,Meander Creek Reservoir via MVSD,"proposed/requested, not established current connection",Cooling water recycled except evaporative loss,SRC018;SRC019,Niles later stopped pursuing annexation; no utility-use application had been submitted. Preserve proposed service relationship as historical proposal context.
FAC021,Bitdeer Massillon,Stark,Massillon,Bitdeer Technologies Group,operating,174 MW online at Q2 2026; additional 21 MW plus 26 MW reconstruction in pipeline,2026-06-30,analytical_case,crypto,174.0,online electrical capacity,current online site,reported,"Total planned/site electrical capacity is 221 MW; master uses 174 MW online as of June 30, 2026 and preserves 221 MW in notes.",air cooling; water recirculation reported,reported_secondary,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,Water recirculation reported,SRC020;SRC021,"Address in verification research: 1001 Albrecht Ave SW, Massillon, OH 44647. Total planned capacity 221 MW."
